ADDRESS,LATITUDE,LONGITUDE,POSTAL CODE,NETWORK,PORT TYPE,AVAILABLE PORT,CHARGING FEE,ACCESSIBILITY,Operating Time,ACTIVATION METHOD
400-401 W Georgia St,49.28171444,-123.1144392,V6B 5A1,ChargePoint,EV Plug (J1772),8,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
401 W Georgia St,49.28133958,-123.1148738,V6B 5A1,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
4010 Main St,49.2492332,-123.100819,V5V 1Z6,Flo,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
410 W Georgia,49.28076195,-123.1156906,V6B 1Z3,Flo,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
410 W Georgia,49.28075496,-123.1156906,V6B 1Z3,Flo,EV Plug (J1772),9,$1.50/hr,Public,00:00 to 24:00,"Network App,Network RFID"
4255 Laurel St,49.2479094,-123.1256028,V5Z 2G9,Flo,CCS & CHAdeMO,1,$9.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
446 SW Marine Drive,49.21014814,-123.1159526,V5X 2R9,ChargePoint,EV Plug (J1772),12,$1.80/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
450 Beach Crescent,49.27272798,-123.1294312,V6Z 3G1,Shell Recharge,CCS & CHAdeMO,4,$12.60/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
450 W Cordova St,49.28428604,-123.110423,V6B 1E5,ChargePoint,EV Plug (J1772),2,$5.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
453 W. 12th Ave,49.26122,-123.11374,V5Y 1V4,ChargePoint,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
4575 Clancy Loranger Way,49.243665,-123.106578,V5Y 2M4,Shell Recharge,EV Plug (J1772),2,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
4575 Clancy Loranger Way,49.243665,-123.106578,V5Y 2M4,Shell Recharge,EV Plug (J1772),2,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
4615 Arbutus St,49.24530629,-123.1538783,V6J 4A3,On the Run,CCS & CHAdeMO,4,Free,Public,07:00 to 24:00,Network App
4698 Oak St,49.24326634,-123.1258327,V6H 3V4,ChargePoint,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"Network App,Network RFID"
4747 Dunbar St,49.24391574,-123.1860887,V6S 2H2,Shell Recharge,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App"
4747 Dunbar St,49.24391574,-123.1860887,V6S 2H2,Shell Recharge,EV Plug (J1772),3,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
475 Howe St,49.28572514,-123.1156772,V6C 2B3,None,EV Plug (J1772),10,Free,Public,00:00 to 24:00,No network activation required
475 Howe St,49.28572514,-123.1156772,V6C 2B3,Tesla,Tesla,10,Free,Public,00:00 to 24:00,No network activation required
489 Interurban Way,49.20945408,-123.1167873,V5X 0C7,Flo,EV Plug (J1772),10,$1.80/hr,Public,00:00 to 24:00,"Network App,Network RFID"
4915 W 16th Ave,49.25917311,-123.2222267,V6R 3E9,Flo,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
500 W 12th Ave,49.26043793,-123.1155672,V5Z 1M2,Flo,EV Plug (J1772),4,$10.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
507 W Broadway,49.2636245,-123.1154341,V5Z 1E6,ChargePoint,EV Plug (J1772),4,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
510 Burrard St,49.28602774,-123.1176354,V6C 3A8,Flo,EV Plug (J1772),4,Free,Public,00:00 to 24:00,"Network App,Network RFID"
510 W Georgia St,49.28151044,-123.1167787,V6B 0M3,ChargePoint,EV Plug (J1772),8,$1.50/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
514 Homer St,49.28249535,-123.1121346,V6B 2V6,Tesla,EV Plug (J1772),1,Free,Public,00:00 to 24:00,No network activation required
5175 Dumfries St,49.23850632,-123.0754852,V5P 3A2,Shell Recharge,EV Plug (J1772),3,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
535 Hornby St,49.28570214,-123.1178574,V6C 2E8,Flo,EV Plug (J1772),6,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
535 Richards St,49.28312014,-123.113908,V6B 2Z5,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
5425 Shortcut Rd,49.26562639,-123.2360071,V6T 1R9,Flo,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
555 Seymour St,49.28343685,-123.1151467,V6B 3H6,Flo,EV Plug (J1772),5,Free,Public,00:00 to 24:00,"Network App,Network RFID"
5575 W Boulevard,49.23590703,-123.1556233,V6M 3W6,BC Hydro EV,CCS & CHAdeMO,2,$12.726/hr,Public,00:00 to 24:00,"Network App,Network RFID"
561 Homer St,49.28235595,-123.11328,V6B 2V7,BC Hydro EV,CCS & CHAdeMO,2,$12.726/hr,Public,00:00 to 24:00,"Network App,Network RFID"
5750 Yew St,49.23392787,-123.1578002,V6M 3Y6,Flo,EV Plug (J1772),2,$2.50/hr,Public,00:00 to 24:00,"Network App,Network RFID"
595 W 6th Ave,49.26609918,-123.1173025,V5Z 1A1,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
600 Homer St,49.28141706,-123.1134102,V6B 2R4,ChargePoint,CCS & CHAdeMO,24,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
600 National Ave,49.27360957,-123.0921853,V6A 0B8,Shell Recharge,CCS & CHAdeMO,3,$12.60/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
603 W 59th Ave,49.21762313,-123.1175098,V6P 0J9,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
625 Howe St,49.28435086,-123.1179448,V6C 2T6,Flo,EV Plug (J1772),5,$6.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
6260 Killarney St,49.226968,-123.044818,V5S 2X7,Shell Recharge,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
646 E. 44th Ave,49.2299043,-123.0913508,V5W 1X6,Shell Recharge,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
646 E. 44th Ave,49.2299043,-123.0913508,V5W 1X6,Shell Recharge,CCS & CHAdeMO,1,$12.60/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
65 W Cordova St,49.28313444,-123.1062579,V6B 8P6,Flo,EV Plug (J1772),5,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
650 W 41st Ave,49.23355317,-123.1178244,V5Z 2M9,Tesla,EV Plug (J1772),2,Free,Public,00:00 to 24:00,No network activation required
650 W 41st Ave,49.23355317,-123.1178244,V5Z 2M9,Flo,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
650 W Georgia St,49.28202355,-123.1179344,V6B 4N7,ChargePoint,EV Plug (J1772),16,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
650 W Georgia St,49.28202355,-123.1179344,V6B 4N7,ChargePoint,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
658 Homer St,49.28094135,-123.1144543,V6B 2R4,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
658 Homer St,49.28094135,-123.1144543,V6B 2R4,ChargePoint,EV Plug (J1772),70,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
666 Burrard St,49.28518814,-123.1192312,V6C 3P6,ChargePoint,EV Plug (J1772),8,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
666 Burrard St,49.28518814,-123.1192312,V6C 3P6,ChargePoint,CCS & CHAdeMO,1,$15/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
675 Cambie St,49.28001926,-123.1131979,V6B 2P1,ChargePoint,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
695 E 19th Ave,49.25404135,-123.0902218,V5V 0J1,ChargePoint,EV Plug (J1772),4,$2.00/hr,Restricted,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
700 Hamilton St,49.27973556,-123.114106,V6B 2R5,ChargePoint,EV Plug (J1772),2,$1.50/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
701 W Georgia St,49.28321964,-123.118031,V7Y 1G5,Flo,EV Plug (J1772),1,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
