SCHOOL_ID,NAME,BOARD,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,POSTAL_COD,LATITUDE,LONGITUDE
296,Our Lady of the Assumption School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3B1N5,51.0836704,-114.1911161
297,Our Lady of the Evergreens Catholic School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2Y0L5,50.91468824,-114.1227776
298,Our Lady of the Rockies High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Senior High,N,N,N,N,Y,T2V2Y2,50.97559307,-114.0787303
299,Our Lady of the Rosary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3M0W7,50.87579357,-113.9698581
300,Palliser Beyond Borders at Calgary,The Palliser School Division,Calgary,AB,Unknown,N,N,N,N,N,T1Y5Z6,51.08605845,-114.0001279
301,Panorama Hills School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3K0S4,51.15549924,-114.085758
302,Patrick Airlie School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2A1H9,51.04021725,-113.9767827
303,Penbrooke Meadows School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2A2G4,51.04144806,-113.9528095
304,Peter Lougheed School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3J5J1,51.13080176,-113.9554357
305,Phoenix Education Foundation,Phoenix Education Foundation,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2E6J6,51.05035631,-114.0078056
306,Pineridge School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T1Y4W6,51.07032927,-113.9448712
307,Prairie Sky School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,,51.16294793,-113.9573156
308,Prince of Peace School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3M2C9,50.89358199,-113.9495755
309,Prince of Wales School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2J3Y9,50.92487408,-114.0329677
310,Project Trust,The Calgary School Division,Calgary,AB,Unknown,N,N,N,N,N,T2M4P6,51.07189887,-114.0828649
311,Queen Elizabeth High School,The Calgary School Division,Calgary,AB,Junior High/Senior High,N,N,N,Y,Y,T2N2G5,51.05537383,-114.1021306
312,Queen Elizabeth School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2N2G5,51.05760935,-114.1020019
313,R. T. Alderman School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2J1S1,50.9614094,-114.0453836
314,Radisson Park School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2A0C8,51.0464113,-113.9924667
315,Ramsay School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2G4G9,51.03321261,-114.0460065
316,Ranchlands School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3G2C5,51.11914712,-114.1792617
317,Renert School,The Renert School Foundation,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T3R0K4,51.15212573,-114.2057464
318,Renfrew Educational Services - Child Development Centre,Renfrew Educational Services Society,Calgary,AB,Unknown,N,N,N,N,N,T3B2X9,51.0749641,-114.144042
319,Renfrew Educational Services - Park Place Centre,Renfrew Educational Services Society,Calgary,AB,Unknown,N,N,N,N,N,T2E6S5,51.06969542,-114.0087121
320,Renfrew Educational Services-Bowness Centre,Renfrew Educational Services Society,Calgary,AB,Unknown,N,N,N,N,N,T3B2B2,51.09614563,-114.2186131
321,Renfrew Educational Services-Janice McTighe Centre,Renfrew Educational Services Society,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2E6S5,51.06966845,-114.0086907
322,Renfrew Thomas W. Buchanan Centre,Renfrew Educational Services Society,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2X3V4,50.90297601,-114.0558215
323,Richmond School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2T5G5,51.03028335,-114.1147064
324,Rideau Park School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2S0S2,51.02501405,-114.0763204
325,River Valley School,River Valley School Society,Calgary,AB,Elementary,N,N,Y,N,N,T3B2E7,51.07962909,-114.1743516
326,River Valley School ECS,River Valley School Society,Calgary,AB,Unknown,N,N,N,N,N,T3B2E7,51.07954484,-114.1742873
327,Riverbend School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2C3Z7,50.97264678,-114.0221269
328,Riverside School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2E0B7,51.05287245,-114.0476804
329,Robert Thirsk High School,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T3G5T3,51.1298497,-114.193873
330,Robert Warren School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2W1H2,50.94309585,-114.0853423
331,Roland Michener School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2A4B1,51.05696859,-113.9459307
332,Ron Southern School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2X2E2,50.92104641,-114.0678943
333,Rosedale School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2M0G3,51.0638353,-114.0817733
334,Rosemont School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2K1N6,51.07801304,-114.09213
335,Royal Oak School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3G5R8,51.14564462,-114.2224195
336,Rundle College Academy,Rundle College Society,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2T4H9,51.01544148,-114.099905
337,Rundle College Elementary School,Rundle College Society,Calgary,AB,Elementary,N,N,Y,N,N,T3H3W5,51.03761665,-114.193689
338,Rundle College Junior Senior High,Rundle College Society,Calgary,AB,Junior High/Senior High,N,N,N,Y,Y,T3H3W5,51.03767062,-114.1938606
339,Rundle School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T1Y4W9,51.07120544,-113.9740805
340,Rundle Studio,Rundle College Society,Calgary,AB,Junior High/Senior High,N,N,N,Y,Y,T3H3W5,51.03772459,-114.1941181
341,Sacred Heart Elementary School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3C0T6,51.04100301,-114.0967381
342,Saddle Ridge School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3J5L6,51.13725005,-113.9370823
343,Sam Livingston School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2J3G7,50.94592213,-114.0611199
344,Samuel W. Shaw School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2Y0K6,50.90857886,-114.0879112
345,Scenic Acres School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3L1T2,51.12031673,-114.2157222
346,Senator Patrick Burns School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2L0X2,51.08857077,-114.1153352
347,Sherwood School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2C1J4,50.9940256,-114.0116468
348,Sibylla Kiddle School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,,50.87769814,-113.9709091
349,Silver Springs School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3B3V1,51.10592775,-114.1929666
350,Simon Fraser School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2L1V3,51.10077621,-114.136511
351,Simons Valley School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3K4B2,51.13989034,-114.1074567
352,Sir John A. Macdonald School,The Calgary School Division,Calgary,AB,Junior High,N,N,N,Y,N,T2K1C2,51.11159676,-114.0708929
353,Sir John Franklin School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2E0T7,51.05939427,-114.0104714
354,Sir Wilfrid Laurier School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2A0Y9,51.0459447,-113.9841052
355,Sir Winston Churchill High School,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T2L2J6,51.09810558,-114.140585
356,Somerset School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2Y4S2,50.8975048,-114.0855148
357,South Middle School Campus,Foundations for the Future Charter Academy Charter School Society,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2H1V2,50.97310098,-114.0531007
358,Southeast Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Calgary,AB,Elementary,N,N,Y,N,N,T2J1A9,50.96719015,-114.0458867
359,Southwest Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Calgary,AB,Elementary,N,N,Y,N,N,T2W0R7,50.95886953,-114.0829189
360,St. Albert the Great,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2Z3X3,51.06470773,-114.0412577
361,St. Alphonsus Elementary Junior High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2E5H5,51.06472122,-114.0412738
362,St. Ambrose School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3G4X9,51.13341753,-114.2051534
363,St. Andrew School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3E1G2,51.01676701,-114.1478046
364,St. Anne Academic Centre,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2G1N2,51.03504693,-114.0389585
365,St. Anthony,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2S2N5,51.01020822,-114.0793653
366,St. Augustine Elementary Junior High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2V1E9,50.99138641,-114.0815723
367,St. Basil Elementary/Junior High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3L2T5,51.11949809,-114.2503527
